Character	MostCommon	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
Mrs. Musgrove	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mr. Musgrove	Charles Musgrove	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Elizabeth Elliot	Lady Russell	Mrs. Clay	Mrs. Croft	Mrs. Harville	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Elizabeth Elliot	Lady Russell	Mrs. Clay	Mrs. Croft	Mrs. Harville	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mrs. Smith	Elizabeth Elliot	Lady Russell	Mrs. Clay	Mrs. Harville	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Elizabeth Elliot	Lady Russell	Mrs. Clay	Mrs. Croft	Mrs. Harville	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Elizabeth Elliot	Lady Russell	Mrs. Clay	Mrs. Harville	Mrs. Croft
Mrs. Smith	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Sir Walter Elliot	Elizabeth Elliot	Elizabeth Elliot	Henrietta Musgrove	Lady Russell	Louisa Musgrove	Mary Musgrove	Mr. Shepherd	Mrs. Clay	Mrs. Croft	Mrs. Harville	Mrs. Musgrove	Elizabeth Elliot	Caroline Bingley	Lady Catherine de Bourgh	Lady Lucas	Mrs. Bennet	Mr. Phillips	Mrs. Phillips	Sir William Lucas	Anne Steele	Fanny Dashwood	Elizabeth Elliot	Lady Catherine de Bourgh	Julia Bertram	Maria Bertram	Mrs. Rushworth	Mrs. Thorpe	Mrs. Bennet	Mrs. Hurst	Mr. Hurst	Lady Middleton	Elizabeth Elliot	Lady Russell	Mr. Shepherd	Mrs. Clay	Sir Walter Elliot	William Elliot	Lady Catherine de Bourgh	Mr. Phillips	Mrs. Phillips	Sir William Lucas	Elizabeth Elliot	Lady Russell	Mrs. Clay	Mr. Musgrove	William Elliot	Caroline Bingley	Lady Catherine de Bourgh	Mr. Phillips	Mrs. Phillips	Sir William Lucas
William Elliot	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Captain Wentworth	Frank Churchill	Frank Churchill	Edmund Bertram	Henry Crawford	Julia Bertram	Mr. Rushworth	Mr. Yates	Tom Bertram	Frederick Tilney	Captain Benwick	Captain Harville	Frank Churchill	Edmund Bertram	Henry Crawford	Mary Crawford	Sir Thomas Bertram	Tom Bertram	Frederick Tilney	Henry Tilney	Captain Benwick	Colonel Fitzwilliam	Frank Churchill	Edmund Bertram	Henry Crawford	Mary Crawford	Frederick Tilney	Henry Tilney	Admiral Croft	Captain Benwick	Captain Harville	Charles Hayter	Frank Churchill	Edmund Bertram	Henry Crawford	Sir Thomas Bertram	Tom Bertram	Frederick Tilney	Henry Tilney	Admiral Croft	Captain Benwick	Colonel Fitzwilliam	Frank Churchill	Edmund Bertram	Henry Crawford	Julia Bertram	Mary Crawford	Sir Thomas Bertram	Tom Bertram	Henry Tilney	Captain Benwick	Captain Harville
Caroline Bingley	Augusta Elton	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Isabella Thorpe	Mrs. Thorpe	Elizabeth Elliot	Mrs. Clay	Lady Catherine de Bourgh	Fanny Dashwood	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Isabella Thorpe	Mrs. Thorpe	Elizabeth Elliot	Mrs. Clay	Lady Catherine de Bourgh	Mrs. Hurst	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Isabella Thorpe	Mrs. Thorpe	Elizabeth Elliot	Mrs. Clay	Lady Catherine de Bourgh	Mrs. Hurst	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Isabella Thorpe	Mrs. Thorpe	Elizabeth Elliot	Mrs. Clay	Lady Catherine de Bourgh	Fanny Dashwood	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Isabella Thorpe	Mrs. Thorpe	Elizabeth Elliot	Mrs. Clay	Lady Catherine de Bourgh	Fanny Dashwood
Charles Bingley	Frank Churchill	Anna Weston	Augusta Elton	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Frank Churchill	George Knightley	Edmund Bertram	Henry Crawford	Julia Bertram	Mr. Rushworth	Mr. Yates	Tom Bertram	Charles Hayter	Charles Musgrove	Frank Churchill	George Knightley	Robert Martin	Edmund Bertram	Henry Crawford	Mr. Rushworth	Tom Bertram	Captain Benwick	Charles Hayter	Captain Wentworth	Frank Churchill	George Knightley	Robert Martin	Edmund Bertram	Henry Crawford	Tom Bertram	Frederick Tilney	Isabella Thorpe	Charles Hayter	Captain Wentworth	Frank Churchill	George Knightley	Edmund Bertram	Henry Crawford	Julia Bertram	Mr. Rushworth	Sir Thomas Bertram	Tom Bertram	Charles Hayter	Captain Wentworth
Charlotte Lucas	Augusta Elton	Charlotte Lucas	Philip Elton	William Collins	Charlotte Palmer	Lucy Steele	Anne Steele	Mrs. Jennings	Lady Middleton	Mrs. Norris	Mrs. Clay	Charlotte Lucas	Augusta Elton	Harriet Smith	Isabella Knightley	Mrs. Cole	Philip Elton	Robert Martin	Fanny Price	Julia Bertram	Maria Bertram	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Colonel Fitzwilliam	Frank Churchill	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Colonel Brandon	Captain Benwick	Captain Harville	Captain Wentworth	John Willoughby	Frank Churchill	Henry Crawford	Mr. Yates	General Tilney	Admiral Croft	Anna Weston	Frank Churchill	Augusta Elton	Henry Crawford	Emma Woodhouse	Frederick Tilney	Frank Churchill	Henry Tilney	George Knightley	Captain Benwick	Harriet Smith	Captain Harville	Isabella Knightley	Charles Hayter	Jane Fairfax	Captain Wentworth	John Knightley	Colonel Brandon	Miss Bates	John Willoughby	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mr. Gardiner	Frank Churchill	Frank Churchill	George Knightley	John Knightley	Mr. Woodhouse	Philip Elton	Robert Martin	Edmund Bertram	Sir Thomas Bertram	Henry Tilney	Fitzwilliam Darcy	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Elizabeth Bennet	Emma Woodhouse	Emma Woodhouse	Jane Fairfax	Fanny Price	Catherine Morland	Eleanor Tilney	Anne Elliot	Charlotte Lucas	Elinor Dashwood	Marianne Dashwood	Mrs. Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Catherine Morland	Eleanor Tilney	Isabella Thorpe	Anne Elliot	Charlotte Lucas	Elinor Dashwood	Marianne Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Catherine Morland	Eleanor Tilney	Anne Elliot	Charlotte Lucas	Elinor Dashwood	Marianne Dashwood	Mrs. Dashwood	Emma Woodhouse	Jane Fairfax	Catherine Morland	Eleanor Tilney	Henry Tilney	Anne Elliot	Henrietta Musgrove	Louisa Musgrove	Elinor Dashwood	Marianne Dashwood	Emma Woodhouse	Jane Fairfax	Catherine Morland	Eleanor Tilney	Henry Tilney	Anne Elliot	Henrietta Musgrove	Louisa Musgrove	Elinor Dashwood	Marianne Dashwood
Fitzwilliam Darcy	George Knightley	Anna Weston	Anne Elliot	Augusta Elton	Captain Wentworth	Emma Woodhouse	Sir Thomas Bertram	Frank Churchill	Harriet Smith	George Knightley	George Knightley	Harriet Smith	Edmund Bertram	Isabella Knightley	Henry Tilney	Jane Fairfax	Colonel Brandon	John Knightley	Edward Ferrars	Miss Bates	Colonel Fitzwilliam	Frank Churchill	George Knightley	Edmund Bertram	Henry Crawford	Sir Thomas Bertram	General Tilney	Henry Tilney	Anne Elliot	Captain Wentworth	Colonel Brandon	Frank Churchill	George Knightley	Edmund Bertram	Henry Crawford	Sir Thomas Bertram	General Tilney	Henry Tilney	Anne Elliot	Captain Wentworth	Colonel Brandon	Frank Churchill	George Knightley	Edmund Bertram	Henry Crawford	Sir Thomas Bertram	General Tilney	Henry Tilney	Anne Elliot	Captain Wentworth	Colonel Brandon	Frank Churchill	George Knightley	Edmund Bertram	Henry Crawford	Sir Thomas Bertram	General Tilney	Henry Tilney	Anne Elliot	Captain Wentworth	Colonel Brandon
George Wickham	Frank Churchill	Frank Churchill	Philip Elton	Henry Crawford	Mary Crawford	Mr. Rushworth	Mr. Yates	John Thorpe	William Elliot	John Willoughby	Lucy Steele	Frank Churchill	Philip Elton	Henry Crawford	Mr. Rushworth	Mr. Yates	John Thorpe	Captain Benwick	William Elliot	John Willoughby	Lucy Steele	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Frank Churchill	Philip Elton	Henry Crawford	Mr. Rushworth	Mr. Yates	John Thorpe	Captain Benwick	William Elliot	John Willoughby	Lucy Steele	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Georgiana Darcy	Jane Fairfax	Jane Bennet	Jane Fairfax	Jane Bennet	Jane Fairfax	Jane Fairfax	Jane Fairfax	Jane Fairfax	Jane Fairfax	Jane Fairfax	Jane Fairfax	Jane Bennet	Jane Fairfax	Catherine Morland	Eleanor Tilney	Henrietta Musgrove	Louisa Musgrove	Jane Bennet	Margaret Dashwood	Marianne Dashwood	Mrs. Dashwood	Jane Bennet	Jane Fairfax	Catherine Morland	Frederick Tilney	Henry Tilney	Anne Elliot	Elizabeth Bennet	Jane Bennet	Elinor Dashwood	Marianne Dashwood	Jane Bennet	Jane Fairfax	Elinor Dashwood	Marianne Dashwood	Margaret Dashwood	Catherine Morland	Eleanor Tilney	Susan Price	Henrietta Musgrove	Lady Russell	Jane Fairfax	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Eleanor Tilney	Henrietta Musgrove	Louisa Musgrove	Jane Bennet
Jane Bennet	Emma Woodhouse	Emma Woodhouse	Jane Fairfax	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Henrietta Musgrove	Louisa Musgrove	Marianne Dashwood	Emma Woodhouse	Isabella Knightley	Jane Fairfax	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Frederick Tilney	Henrietta Musgrove	Emma Woodhouse	Jane Fairfax	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Henrietta Musgrove	Louisa Musgrove	Marianne Dashwood	Emma Woodhouse	Jane Fairfax	Edmund Bertram	Fanny Price	Catherine Morland	Eleanor Tilney	Anne Elliot	Elizabeth Elliot	Elizabeth Bennet	Elinor Dashwood	Emma Woodhouse	Isabella Knightley	Jane Fairfax	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Henrietta Musgrove	Louisa Musgrove
Kitty Bennet	Jane Bennet	Jane Bennet	Lydia Bennet	Mary Bennet	Elizabeth Bennet	Jane Bennet	Lydia Bennet	Mary Bennet	Elizabeth Bennet	Jane Bennet	Lydia Bennet	Jane Bennet	Lydia Bennet	Mary Bennet	Elizabeth Bennet	Marianne Dashwood	Elinor Dashwood	Margaret Dashwood	Catherine Morland	Isabella Thorpe	Henrietta Musgrove	Jane Bennet	Lydia Bennet	Mary Bennet	Elizabeth Bennet	Jane Bennet	Lady Catherine de Bourgh	Mrs. Bennet	Mr. Bennet	George Wickham	Georgiana Darcy	Jane Bennet	Lydia Bennet	Mary Bennet	Elizabeth Bennet	Jane Bennet	Marianne Dashwood	Elinor Dashwood	Margaret Dashwood	Catherine Morland	Isabella Thorpe	Jane Bennet	Lydia Bennet	Mary Bennet	Elizabeth Bennet	Jane Bennet	Lydia Bennet	Mary Bennet	Elizabeth Bennet	Jane Bennet	Lydia Bennet
Lady Catherine de Bourgh	Lady Russell	Augusta Elton	Emma Woodhouse	Lady Bertram	Mrs. Norris	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Middleton	Lady Russell	Augusta Elton	Mrs. Cole	Lady Bertram	Mrs. Norris	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Middleton	Augusta Elton	Emma Woodhouse	Lady Bertram	Mrs. Norris	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Middleton	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Lucas	Lady Middleton	Mrs. Jennings
Lady Lucas	Charlotte Lucas	Charlotte Lucas	Sir William Lucas	Mrs. Bennet	Mrs. Phillips	Mrs. Jennings	Lady Middleton	Lady Russell	Mrs. Norris	Mrs. Thorpe	Mrs. Allen	Charlotte Lucas	Sir William Lucas	Mrs. Bennet	Mrs. Dashwood	Mrs. Jennings	Lady Middleton	Lady Russell	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Charlotte Lucas	Elizabeth Bennet	Jane Bennet	Lydia Bennet	Mary Bennet	Mrs. Bennet	Mrs. Phillips	Sir William Lucas	Lady Middleton	Mrs. Jennings	Charlotte Lucas	Sir William Lucas	Mrs. Bennet	Mrs. Phillips	Mrs. Jennings	Lady Middleton	Mrs. Dashwood	Lady Russell	Mrs. Allen	Mrs. Norris	Charlotte Lucas	Lady Catherine de Bourgh	Sir William Lucas	Lady Middleton	Mrs. Jennings	Sir John Middleton	Mrs. Cole	Philip Elton	Mrs. Hurst	Mr. Hurst
Lydia Bennet	Isabella Thorpe	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Clay	Caroline Bingley	George Wickham	John Willoughby	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Elizabeth Elliot	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Clay	Jane Bennet	Lucy Steele	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Anne Elliot	Elizabeth Elliot	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Clay	Lucy Steele	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Henrietta Musgrove	Louisa Musgrove	Mrs. Clay	Charlotte Lucas	Anne Steele	Lucy Steele	John Willoughby	Anna Weston	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Elizabeth Elliot	Henrietta Musgrove	Louisa Musgrove	Caroline Bingley	Charlotte Lucas	John Willoughby
Mary Bennet	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Elinor Dashwood	Fanny Dashwood	John Dashwood	John Willoughby	Lady Middleton	Lucy Steele	Margaret Dashwood	Marianne Dashwood	Mrs. Dashwood	Mrs. Jennings	Anna Weston	Elinor Dashwood	Fanny Dashwood	John Dashwood	John Willoughby	Lady Middleton	Lucy Steele	Margaret Dashwood	Marianne Dashwood	Mrs. Dashwood	Mrs. Jennings	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mr. Bennet	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Bennet
Mrs. Bennet	Augusta Elton	Augusta Elton	Mrs. Cole	Mrs. Norris	Mrs. Thorpe	Mrs. Clay	Mrs. Hurst	Mrs. Phillips	Charlotte Palmer	Fanny Dashwood	Mrs. Jennings	Augusta Elton	Mrs. Cole	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Lady Russell	Mrs. Clay	Mrs. Musgrove	Lady Lucas	Mrs. Phillips	Augusta Elton	Mrs. Cole	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Lady Russell	Mrs. Clay	Mrs. Musgrove	Mrs. Bennet	Mrs. Jennings	Augusta Elton	Mrs. Cole	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Lady Russell	Mrs. Clay	Mrs. Musgrove	Mrs. Bennet	Mrs. Jennings	Augusta Elton	Mrs. Cole	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Mrs. Clay	Mrs. Bennet	Mrs. Gardiner	Mrs. Phillips	Mrs. Jennings
Mr. Phillips	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mrs. Gardiner	Mrs. Dashwood	Emma Woodhouse	Isabella Knightley	Miss Bates	Mrs. Cole	Mrs. Grant	Mrs. Allen	Mrs. Morland	Mrs. Musgrove	Mrs. Bennet	Mrs. Dashwood	Emma Woodhouse	Isabella Knightley	Miss Bates	Mrs. Cole	Mrs. Grant	Mrs. Norris	Mrs. Allen	Mrs. Morland	Mrs. Musgrove	Mrs. Dashwood	Charlotte Lucas	Elinor Dashwood	Marianne Dashwood	Mrs. Dashwood	Mrs. Jennings	Lady Middleton	Sir John Middleton	Mrs. Allen	Mrs. Morland	Lady Russell	Anna Weston	Isabella Knightley	Mrs. Cole	Mrs. Grant	Mrs. Norris	Mrs. Price	Mrs. Allen	Mrs. Musgrove	Mrs. Bennet	Mrs. Dashwood	Charlotte Lucas	Charlotte Palmer	Elinor Dashwood	Fanny Dashwood	Lady Middleton	Marianne Dashwood	Mrs. Dashwood	Mrs. Jennings	Sir John Middleton	Thomas Palmer
Mrs. Hurst	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mr. Hurst	Mrs. Hurst	Mrs. Hurst	Mrs. Phillips	Mr. Phillips	Mrs. Bennet	Mr. Bennet	Lady Lucas	Lady Catherine de Bourgh	Jane Bennet	Georgiana Darcy	George Wickham	Mrs. Hurst	Mrs. Phillips	Mr. Phillips	Mrs. Bennet	Mr. Bennet	Mary Bennet	Lydia Bennet	Lady Lucas	Lady Catherine de Bourgh	Kitty Bennet	Mrs. Hurst	Mr. Phillips	Mrs. Phillips	Mrs. Bennet	Mr. Bennet	Sir William Lucas	Lady Lucas	Lady Catherine de Bourgh	Sir Walter Elliot	Mr. Musgrove	Mrs. Hurst	Mrs. Phillips	Mr. Phillips	Mrs. Bennet	Mr. Bennet	Mary Bennet	Lydia Bennet	Lady Lucas	Lady Catherine de Bourgh	Kitty Bennet	Mrs. Hurst	Mrs. Phillips	Mr. Phillips	Mrs. Bennet	Mr. Bennet	Lady Lucas	Lady Catherine de Bourgh	Jane Bennet	Georgiana Darcy	George Wickham
Mrs. Phillips	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Phillips	Mrs. Gardiner	Mrs. Hurst	Mr. Hurst	Mrs. Phillips	Sir William Lucas	William Collins	Anne Steele	Charlotte Palmer	Colonel Brandon	Mr. Phillips	Mrs. Phillips	Mrs. Gardiner	Mrs. Hurst	Mr. Hurst	Sir William Lucas	Lady Lucas	Mrs. Bennet	Mrs. Jennings	Lady Middleton
Sir William Lucas	Lady Lucas	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Charlotte Lucas	Lady Lucas	Mr. Bennet	Mrs. Bennet	Mr. Phillips	Mrs. Phillips	Lady Middleton	Mrs. Jennings	Sir John Middleton	Thomas Palmer	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Charlotte Lucas	Lady Lucas	Mr. Bennet	Mrs. Bennet	Mr. Phillips	Mrs. Phillips	Lady Middleton	Mrs. Jennings	Sir John Middleton	Thomas Palmer	Lady Lucas	Mr. Allen	Mrs. Allen	Mrs. Phillips	Mr. Phillips	Mrs. Bennet	Mr. Bennet	Mary Bennet	Lydia Bennet	Lady Catherine de Bourgh
William Collins	Augusta Elton	Augusta Elton	Philip Elton	Mr. Rushworth	Mr. Yates	Mrs. Norris	Mrs. Thorpe	Sir Walter Elliot	Lady Catherine de Bourgh	Mr. Phillips	Mrs. Phillips	Augusta Elton	Philip Elton	Mr. Rushworth	Mr. Yates	Mrs. Norris	Mrs. Thorpe	Sir Walter Elliot	Lady Catherine de Bourgh	Mr. Phillips	Mrs. Phillips	Augusta Elton	Philip Elton	Mr. Rushworth	Mr. Yates	Mrs. Norris	Mrs. Thorpe	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Middleton	Augusta Elton	Philip Elton	Mr. Rushworth	Mr. Yates	General Tilney	Mr. Shepherd	Sir Walter Elliot	William Elliot	Lady Catherine de Bourgh	Lady Middleton	Augusta Elton	Philip Elton	Mrs. Norris	Mrs. Thorpe	Lady Russell	Mr. Shepherd	Mrs. Clay	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Middleton
Anne Steele	Augusta Elton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Augusta Elton	Emma Woodhouse	Harriet Smith	Philip Elton	Robert Martin	Mary Crawford	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Lucy Steele	Charlotte Palmer	Lucy Steele	Fanny Dashwood	John Willoughby	Mrs. Jennings	Charlotte Lucas	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Mrs. Hurst	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Mrs. Clay	Mrs. Hurst	Lucy Steele	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Mrs. Clay	Mrs. Hurst	Lucy Steele
